# Wavenumber/cm**-1  Wavelength/nm        FC               HT              FCHT
   0.10000000E+05   0.10000015E+04   0.27020210E-05   0.11543468E-04   0.14245489E-04
   0.10005000E+05   0.99950171E+03   0.27044666E-05   0.11549973E-04   0.14254440E-04
   0.10010000E+05   0.99900245E+03   0.27069139E-05   0.11556480E-04   0.14263393E-04
   0.10015000E+05   0.99850370E+03   0.27093630E-05   0.11562987E-04   0.14272350E-04
   0.10020000E+05   0.99800545E+03   0.27118139E-05   0.11569495E-04   0.14281309E-04
   0.10025000E+05   0.99750769E+03   0.27142665E-05   0.11576005E-04   0.14290272E-04
   0.10030000E+05   0.99701043E+03   0.27167209E-05   0.11582516E-04   0.14299237E-04
   0.10035000E+05   0.99651366E+03   0.27191770E-05   0.11589028E-04   0.14308205E-04
   0.10040000E+05   0.99601739E+03   0.27216349E-05   0.11595541E-04   0.14317176E-04
   0.10045000E+05   0.99552161E+03   0.27240946E-05   0.11602056E-04   0.14326150E-04
   0.10050000E+05   0.99502633E+03   0.27265561E-05   0.11608571E-04   0.14335127E-04
   0.10055000E+05   0.99453153E+03   0.27290194E-05   0.11615088E-04   0.14344107E-04
   0.10060000E+05   0.99403723E+03   0.27314844E-05   0.11621606E-04   0.14353090E-04
   0.10065000E+05   0.99354343E+03   0.27339512E-05   0.11628125E-04   0.14362076E-04
   0.10070000E+05   0.99305011E+03   0.27364198E-05   0.11634645E-04   0.14371065E-04
   0.10075000E+05   0.99255728E+03   0.27388901E-05   0.11641167E-04   0.14380057E-04
   0.10080000E+05   0.99206494E+03   0.27413623E-05   0.11647689E-04   0.14389051E-04
   0.10085000E+05   0.99157309E+03   0.27438362E-05   0.11654213E-04   0.14398049E-04
   0.10090000E+05   0.99108172E+03   0.27463119E-05   0.11660738E-04   0.14407050E-04
   0.10095000E+05   0.99059084E+03   0.27487895E-05   0.11667264E-04   0.14416053E-04
   0.10100000E+05   0.99010045E+03   0.27512688E-05   0.11673791E-04   0.14425060E-04
   0.10105000E+05   0.98961055E+03   0.27537498E-05   0.11680320E-04   0.14434070E-04
   0.10110000E+05   0.98912112E+03   0.27562327E-05   0.11686849E-04   0.14443082E-04
   0.10115000E+05   0.98863219E+03   0.27587174E-05   0.11693380E-04   0.14452098E-04
   0.10120000E+05   0.98814373E+03   0.27612039E-05   0.11699912E-04   0.14461116E-04
   0.10125000E+05   0.98765576E+03   0.27636921E-05   0.11706445E-04   0.14470138E-04
   0.10130000E+05   0.98716827E+03   0.27661822E-05   0.11712980E-04   0.14479162E-04
   0.10135000E+05   0.98668126E+03   0.27686741E-05   0.11719515E-04   0.14488190E-04
   0.10140000E+05   0.98619473E+03   0.27711678E-05   0.11726052E-04   0.14497220E-04
   0.10145000E+05   0.98570868E+03   0.27736632E-05   0.11732590E-04   0.14506253E-04
   0.10150000E+05   0.98522311E+03   0.27761605E-05   0.11739129E-04   0.14515290E-04
   0.10155000E+05   0.98473802E+03   0.27786596E-05   0.11745670E-04   0.14524329E-04
   0.10160000E+05   0.98425340E+03   0.27811605E-05   0.11752211E-04   0.14533372E-04
   0.10165000E+05   0.98376926E+03   0.27836632E-05   0.11758754E-04   0.14542417E-04
   0.10170000E+05   0.98328560E+03   0.27861677E-05   0.11765298E-04   0.14551465E-04
   0.10175000E+05   0.98280242E+03   0.27886741E-05   0.11771843E-04   0.14560517E-04
   0.10180000E+05   0.98231970E+03   0.27911822E-05   0.11778389E-04   0.14569571E-04
   0.10185000E+05   0.98183746E+03   0.27936922E-05   0.11784937E-04   0.14578629E-04
   0.10190000E+05   0.98135570E+03   0.27962040E-05   0.11791485E-04   0.14587689E-04
   0.10195000E+05   0.98087441E+03   0.27987176E-05   0.11798035E-04   0.14596753E-04
   0.10200000E+05   0.98039359E+03   0.28012330E-05   0.11804586E-04   0.14605819E-04
   0.10205000E+05   0.97991324E+03   0.28037503E-05   0.11811138E-04   0.14614889E-04
   0.10210000E+05   0.97943336E+03   0.28062693E-05   0.11817692E-04   0.14623961E-04
   0.10215000E+05   0.97895395E+03   0.28087902E-05   0.11824247E-04   0.14633037E-04
   0.10220000E+05   0.97847501E+03   0.28113130E-05   0.11830803E-04   0.14642115E-04
   0.10225000E+05   0.97799654E+03   0.28138375E-05   0.11837360E-04   0.14651197E-04
   0.10230000E+05   0.97751853E+03   0.28163639E-05   0.11843918E-04   0.14660282E-04
   0.10235000E+05   0.97704099E+03   0.28188921E-05   0.11850477E-04   0.14669370E-04
   0.10240000E+05   0.97656392E+03   0.28214222E-05   0.11857038E-04   0.14678460E-04
   0.10245000E+05   0.97608732E+03   0.28239541E-05   0.11863600E-04   0.14687554E-04
   0.10250000E+05   0.97561118E+03   0.28264878E-05   0.11870163E-04   0.14696651E-04
   0.10255000E+05   0.97513550E+03   0.28290234E-05   0.11876727E-04   0.14705751E-04
   0.10260000E+05   0.97466029E+03   0.28315608E-05   0.11883293E-04   0.14714854E-04
   0.10265000E+05   0.97418554E+03   0.28341000E-05   0.11889860E-04   0.14723960E-04
   0.10270000E+05   0.97371125E+03   0.28366411E-05   0.11896428E-04   0.14733069E-04
   0.10275000E+05   0.97323743E+03   0.28391841E-05   0.11902997E-04   0.14742181E-04
   0.10280000E+05   0.97276406E+03   0.28417289E-05   0.11909567E-04   0.14751296E-04
   0.10285000E+05   0.97229116E+03   0.28442755E-05   0.11916139E-04   0.14760414E-04
   0.10290000E+05   0.97181871E+03   0.28468240E-05   0.11922712E-04   0.14769536E-04
   0.10295000E+05   0.97134673E+03   0.28493743E-05   0.11929286E-04   0.14778660E-04
   0.10300000E+05   0.97087520E+03   0.28519265E-05   0.11935861E-04   0.14787788E-04
   0.10305000E+05   0.97040413E+03   0.28544806E-05   0.11942438E-04   0.14796918E-04
   0.10310000E+05   0.96993352E+03   0.28570365E-05   0.11949015E-04   0.14806052E-04
   0.10315000E+05   0.96946336E+03   0.28595943E-05   0.11955594E-04   0.14815188E-04
   0.10320000E+05   0.96899366E+03   0.28621539E-05   0.11962174E-04   0.14824328E-04
   0.10325000E+05   0.96852441E+03   0.28647154E-05   0.11968756E-04   0.14833471E-04
   0.10330000E+05   0.96805562E+03   0.28672787E-05   0.11975338E-04   0.14842617E-04
   0.10335000E+05   0.96758728E+03   0.28698439E-05   0.11981922E-04   0.14851766E-04
   0.10340000E+05   0.96711940E+03   0.28724110E-05   0.11988507E-04   0.14860918E-04
   0.10345000E+05   0.96665196E+03   0.28749800E-05   0.11995093E-04   0.14870073E-04
   0.10350000E+05   0.96618498E+03   0.28775508E-05   0.12001681E-04   0.14879232E-04
   0.10355000E+05   0.96571845E+03   0.28801235E-05   0.12008270E-04   0.14888393E-04
   0.10360000E+05   0.96525237E+03   0.28826981E-05   0.12014860E-04   0.14897558E-04
   0.10365000E+05   0.96478674E+03   0.28852745E-05   0.12021451E-04   0.14906725E-04
   0.10370000E+05   0.96432156E+03   0.28878529E-05   0.12028043E-04   0.14915896E-04
   0.10375000E+05   0.96385683E+03   0.28904331E-05   0.12034637E-04   0.14925070E-04
   0.10380000E+05   0.96339254E+03   0.28930151E-05   0.12041232E-04   0.14934247E-04
   0.10385000E+05   0.96292870E+03   0.28955991E-05   0.12047828E-04   0.14943427E-04
   0.10390000E+05   0.96246531E+03   0.28981850E-05   0.12054425E-04   0.14952610E-04
   0.10395000E+05   0.96200236E+03   0.29007727E-05   0.12061024E-04   0.14961797E-04
   0.10400000E+05   0.96153986E+03   0.29033623E-05   0.12067624E-04   0.14970986E-04
   0.10405000E+05   0.96107781E+03   0.29059538E-05   0.12074225E-04   0.14980179E-04
   0.10410000E+05   0.96061619E+03   0.29085472E-05   0.12080827E-04   0.14989375E-04
   0.10415000E+05   0.96015502E+03   0.29111425E-05   0.12087431E-04   0.14998574E-04
   0.10420000E+05   0.95969430E+03   0.29137397E-05   0.12094036E-04   0.15007776E-04
   0.10425000E+05   0.95923401E+03   0.29163388E-05   0.12100642E-04   0.15016981E-04
   0.10430000E+05   0.95877417E+03   0.29189398E-05   0.12107249E-04   0.15026189E-04
   0.10435000E+05   0.95831476E+03   0.29215427E-05   0.12113858E-04   0.15035401E-04
   0.10440000E+05   0.95785580E+03   0.29241475E-05   0.12120468E-04   0.15044615E-04
   0.10445000E+05   0.95739728E+03   0.29267541E-05   0.12127079E-04   0.15053833E-04
   0.10450000E+05   0.95693919E+03   0.29293627E-05   0.12133691E-04   0.15063054E-04
   0.10455000E+05   0.95648155E+03   0.29319732E-05   0.12140305E-04   0.15072278E-04
   0.10460000E+05   0.95602434E+03   0.29345856E-05   0.12146920E-04   0.15081505E-04
   0.10465000E+05   0.95556757E+03   0.29371999E-05   0.12153536E-04   0.15090736E-04
   0.10470000E+05   0.95511123E+03   0.29398162E-05   0.12160153E-04   0.15099969E-04
   0.10475000E+05   0.95465533E+03   0.29424343E-05   0.12166772E-04   0.15109206E-04
   0.10480000E+05   0.95419986E+03   0.29450543E-05   0.12173391E-04   0.15118446E-04
   0.10485000E+05   0.95374483E+03   0.29476763E-05   0.12180013E-04   0.15127689E-04
   0.10490000E+05   0.95329024E+03   0.29503002E-05   0.12186635E-04   0.15136935E-04
   0.10495000E+05   0.95283607E+03   0.29529260E-05   0.12193259E-04   0.15146185E-04
   0.10500000E+05   0.95238234E+03   0.29555537E-05   0.12199883E-04   0.15155437E-04
   0.10505000E+05   0.95192904E+03   0.29581834E-05   0.12206510E-04   0.15164693E-04
   0.10510000E+05   0.95147617E+03   0.29608149E-05   0.12213137E-04   0.15173952E-04
   0.10515000E+05   0.95102373E+03   0.29634484E-05   0.12219766E-04   0.15183214E-04
   0.10520000E+05   0.95057173E+03   0.29660839E-05   0.12226396E-04   0.15192479E-04
   0.10525000E+05   0.95012015E+03   0.29687212E-05   0.12233027E-04   0.15201748E-04
   0.10530000E+05   0.94966900E+03   0.29713605E-05   0.12239659E-04   0.15211020E-04
   0.10535000E+05   0.94921828E+03   0.29740017E-05   0.12246293E-04   0.15220295E-04
   0.10540000E+05   0.94876799E+03   0.29766449E-05   0.12252928E-04   0.15229573E-04
   0.10545000E+05   0.94831812E+03   0.29792900E-05   0.12259564E-04   0.15238854E-04
   0.10550000E+05   0.94786868E+03   0.29819370E-05   0.12266202E-04   0.15248139E-04
   0.10555000E+05   0.94741967E+03   0.29845860E-05   0.12272841E-04   0.15257427E-04
   0.10560000E+05   0.94697108E+03   0.29872369E-05   0.12279481E-04   0.15266718E-04
   0.10565000E+05   0.94652291E+03   0.29898897E-05   0.12286122E-04   0.15276012E-04
   0.10570000E+05   0.94607517E+03   0.29925445E-05   0.12292765E-04   0.15285310E-04
   0.10575000E+05   0.94562786E+03   0.29952013E-05   0.12299409E-04   0.15294610E-04
